City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Leeton,-34.5667,146.4,82.4,30,0,14.97,AU,1613190763
Nemuro,43.3236,145.575,35.6,60,75,5.75,JP,1613190763
Grindavik,63.8424,-22.4338,41.0,81,75,42.57,IS,1613190470
Camacha,33.0833,-16.3333,55.4,76,0,3.44,PT,1613190438
Westport,41.1415,-73.3579,28.4,34,90,5.75,US,1613190254
Malabo,3.75,8.7833,77.0,80,20,6.91,GQ,1613190765
Dauphin,51.1494,-100.0502,-31.0,68,1,8.05,CA,1613190468
Souillac,-20.5167,57.5167,82.4,69,75,13.8,MU,1613190388
Sioux Lookout,50.1001,-91.917,-22.0,69,90,3.44,CA,1613190456
Dwārka,22.2394,68.9678,75.4,49,0,5.77,IN,1613190765
Lorengau,-2.0226,147.2712,83.39,77,100,7.78,PG,1613190127
Hobyo,5.3505,48.5268,76.93,71,81,16.28,SO,1613190766
Ossora,59.2353,163.0719,-3.62,82,0,11.59,RU,1613190766
Kudahuvadhoo,2.6708,72.8944,82.4,63,99,7.67,MV,1613190450
Mahébourg,-20.4081,57.7,82.4,69,75,13.8,MU,1613190361
Glenwood Springs,39.5505,-107.3248,35.01,93,90,5.86,US,1613190687
Humaitá,-7.5061,-63.0208,74.98,96,100,1.86,BR,1613190766
Atuona,-9.8,-139.0333,79.11,79,4,14.79,PF,1613190156
The Valley,18.217,-63.0578,77.0,78,40,12.66,AI,1613190767
Ushuaia,-54.8,-68.3,55.4,47,75,11.5,AR,1613190341
Ingham,42.6,-84.3833,17.01,86,75,3.44,US,1613190767
Faanui,-16.4833,-151.75,81.91,73,24,10.51,PF,1613190354
Mtwara,-10.2667,40.1833,77.0,100,75,10.36,TZ,1613190767
Arona,28.0996,-16.681,64.4,68,40,10.36,ES,1613190767
Zyryanka,65.75,150.85,-23.31,86,16,4.59,RU,1613190817
Oyama,36.3,139.8,63.0,41,20,8.05,JP,1613190817
Goderich,43.7501,-81.7165,5.0,78,94,6.91,CA,1613190818
Quatre Cocos,-20.2078,57.7625,82.4,69,75,13.8,MU,1613190818
Genhe,50.7833,121.5167,0.45,88,100,9.84,CN,1613190818
Khatanga,71.9667,102.5,-26.0,86,98,8.66,RU,1613190339
Sarangani,5.4033,125.4636,82.63,79,91,11.12,PH,1613190343
Lielvārde,56.7207,24.8074,17.6,93,90,1.14,LV,1613190818
Makkah al Mukarramah,21.4267,39.8261,76.37,54,36,1.68,SA,1613190819
Maniago,46.1706,12.7078,28.0,61,80,1.01,IT,1613190819
Guymon,36.6828,-101.4816,10.4,72,90,11.5,US,1613190819
Port Keats,-14.25,129.55,90.66,58,57,7.92,AU,1613190819
Esperance,-33.8667,121.9,80.6,41,0,11.5,AU,1613190362
Port Elizabeth,-33.918,25.5701,73.4,100,90,8.05,ZA,1613190105
Manokwari,-0.8667,134.0833,83.05,78,87,7.0,ID,1613190820
Istok,42.7808,20.4875,19.4,58,40,10.36,XK,1613190480
Padang,-0.9492,100.3543,89.6,66,20,5.75,ID,1613190440
Thompson,55.7435,-97.8558,-38.2,67,1,2.3,CA,1613190548
Carutapera,-1.195,-46.02,78.85,86,100,8.79,BR,1613190350
Lexington,37.9887,-84.4777,28.0,80,90,11.5,US,1613190820
Provideniya,64.3833,-173.3,1.02,90,100,28.07,RU,1613190355
Cosalá,24.4125,-106.6908,57.99,94,73,1.74,MX,1613190821
Pemangkat,1.1667,108.9667,82.85,74,61,12.12,ID,1613190821
Porto Santo,33.072,-16.3415,55.4,76,0,3.44,PT,1613190821
Isla Vista,34.4133,-119.861,60.8,41,1,9.22,US,1613190821
Erzin,36.9559,36.2,53.01,94,17,5.99,TR,1613190418
Seoul,37.5683,126.9778,57.2,30,0,2.3,KR,1613190784
Beyneu,45.3167,55.2,38.17,78,32,21.63,KZ,1613190822
Cervia,44.2657,12.3427,34.0,93,75,14.97,IT,1613190823
Chapais,49.7834,-74.8492,-5.8,77,90,6.91,CA,1613190426
Coahuayana Viejo,18.7333,-103.6833,62.06,82,12,3.06,MX,1613190823
Bathsheba,13.2167,-59.5167,78.8,65,40,20.71,BB,1613190475
Cepu,-7.1475,111.5906,86.54,70,93,7.38,ID,1613190823
Betong,5.7743,101.0723,94.84,34,7,1.79,TH,1613190727
Visnes,59.3556,5.2242,19.4,58,0,14.97,NO,1613190824
Constitución,-35.3333,-72.4167,58.39,88,40,5.77,CL,1613190352
Lethem,3.3803,-59.7968,77.18,74,80,13.38,GY,1613190825
Palmer,42.1584,-72.3287,23.0,49,90,3.44,US,1613190801
Dawei,14.0833,98.2,88.75,38,0,6.55,MM,1613190825
Harper,4.375,-7.7169,78.8,89,0,6.62,LR,1613190825
Aného,6.2333,1.6,82.4,89,40,6.91,TG,1613190825
Broome,42.2506,-75.833,12.2,57,90,8.05,US,1613190403
Monrovia,6.3005,-10.7969,79.93,87,31,8.23,LR,1613190826
Wiang Sa,8.6359,99.3666,90.0,55,0,2.1,TH,1613190826
Geraldton,-28.7667,114.6,89.6,43,90,20.71,AU,1613190341
Saint-Philippe,-21.3585,55.7679,84.2,61,0,24.16,RE,1613190359
Kalundborg,55.6795,11.0886,25.0,84,0,1.99,DK,1613190826
Beloha,-25.1667,45.05,79.63,64,98,13.27,MG,1613190700
Suicheng,33.8963,117.9331,60.39,62,63,9.8,CN,1613190827
Avera,33.194,-82.5271,41.0,93,90,9.22,US,1613190827
Sharan,54.8167,54.0,32.04,96,100,12.26,RU,1613190827
Lata,40.1629,-8.3327,52.0,91,99,1.01,PT,1613190400
Vao,-22.6667,167.4833,79.66,74,15,7.65,NC,1613190827
Banda Aceh,5.5577,95.3222,86.45,64,17,3.36,ID,1613190827
San Jose,37.3394,-121.895,53.6,76,75,4.61,US,1613190877
Varberg,57.1056,12.2508,12.2,78,0,4.61,SE,1613190877
Chui,-33.6971,-53.4616,70.32,90,100,10.92,UY,1613190370
Snezhnogorsk,69.1933,33.2531,-22.0,69,20,5.01,RU,1613190878
Caraballeda,10.6112,-66.8522,73.4,78,40,3.44,VE,1613190878
Vokhtoga,58.8147,41.0461,3.2,91,100,13.82,RU,1613190878
Waddān,29.1614,16.139,51.98,50,0,8.93,LY,1613190349
Kavieng,-2.5744,150.7967,84.09,76,49,10.13,PG,1613190462
Halifax,44.6453,-63.5724,24.8,80,82,9.22,CA,1613190813
Magdagachi,53.45,125.8,6.35,93,100,8.97,RU,1613190879
Olafsvik,64.8945,-23.7142,39.99,72,100,26.42,IS,1613190122
Chitral,35.8462,71.7858,48.11,40,30,4.5,PK,1613190879
Taguatinga,-12.3857,-46.5711,71.62,89,100,3.09,BR,1613190879
Cascais,38.6979,-9.4215,52.0,100,20,4.56,PT,1613190880
Morant Bay,17.8815,-76.4093,80.6,69,20,18.41,JM,1613190880
Tura,25.5198,90.2201,77.81,33,0,1.79,IN,1613190402
Flinders,-34.5833,150.8552,70.0,83,100,4.0,AU,1613190458
Usol'ye,59.4268,56.6808,5.0,75,100,1.01,RU,1613190880
Poum,-20.2333,164.0167,81.1,71,1,10.13,NC,1613190139
Fortuna,40.5982,-124.1573,51.01,100,90,4.45,US,1613190880
Ābādān,30.3392,48.3043,51.8,93,0,2.3,IR,1613190605
Safaga,26.7292,33.9365,57.2,58,0,6.91,EG,1613190881
Namatanai,-3.6667,152.4333,83.95,73,61,7.09,PG,1613190881
Mount Isa,-20.7333,139.5,96.8,34,94,6.91,AU,1613190881
Mossamedes,-15.1961,12.1522,71.58,78,21,2.44,AO,1613190881
Ahipara,-35.1667,173.1667,71.04,59,0,3.69,NZ,1613190083
Farrukhnagar,17.0778,78.2011,77.0,69,15,5.75,IN,1613190881
Talaya,61.3833,152.75,-6.75,87,100,2.48,RU,1613190882
Senanga,-16.1167,23.2667,67.32,92,95,2.04,ZM,1613190882
Bowen,-20.0167,148.2333,91.4,29,94,8.05,AU,1613190882
Amga,60.8953,131.9608,10.26,93,97,2.8,RU,1613190882
Rawson,-43.3002,-65.1023,72.21,64,0,21.56,AR,1613190353
Baruun-Urt,46.6806,113.2792,0.93,80,81,2.71,MN,1613190883
Kozhva,65.1073,57.0459,-18.74,88,89,3.33,RU,1613190883
Dakar,14.6937,-17.4441,64.4,88,0,16.11,SN,1613190434
Gopālpur,19.2667,84.9167,80.51,42,0,6.2,IN,1613190884
Bengkulu,-3.8004,102.2655,85.89,64,35,6.4,ID,1613190093
Norman Wells,65.282,-126.8329,-20.2,83,20,6.73,CA,1613190429
Santa Marta,11.2408,-74.199,82.99,65,3,4.61,CO,1613190742
Hong Kong,22.2855,114.1577,71.01,67,79,1.99,HK,1613190099
Mayumba,-3.432,10.6554,79.52,85,90,8.48,GA,1613190474
Mangochi,-14.4782,35.2645,74.55,89,99,10.33,MW,1613190885
Kanye,-24.9667,25.3327,64.65,78,18,4.79,BW,1613190886
San Patricio,28.017,-97.5169,35.6,93,90,13.8,US,1613190343
Kisanga,-7.4362,37.7034,77.18,80,100,1.1,TZ,1613190886
Pacific Grove,36.6177,-121.9166,53.6,82,75,13.89,US,1613190886
Velasco Ibarra,-1.05,-79.6167,74.37,92,100,2.21,EC,1613190886
Naze,28.3667,129.4833,68.0,83,75,23.02,JP,1613190344
Havelock,34.8791,-76.9013,39.0,94,100,1.99,US,1613190674
Isangel,-19.55,169.2667,82.4,83,75,6.76,VU,1613190423
Bembèrèkè,10.2283,2.6634,65.97,24,0,2.62,BJ,1613190887
Torbay,47.6666,-52.7314,30.0,86,90,24.16,CA,1613190352
Coquimbo,-29.9533,-71.3436,60.8,88,0,4.61,CL,1613190375
Whitianga,-36.8333,175.7,68.97,69,10,8.05,NZ,1613190887
Nishihara,26.1842,127.7558,73.4,64,75,11.5,JP,1613190887
Bocana de Paiwas,12.7857,-85.1227,66.38,92,3,1.77,NI,1613190888
Jiangyou,31.7667,104.7167,63.5,48,99,3.49,CN,1613190464
Mairi,-11.7114,-40.1489,66.97,94,7,3.33,BR,1613190938
Coyhaique,-45.5752,-72.0662,53.6,66,0,2.3,CL,1613190439
Lyuban',52.7985,28.0048,8.42,94,100,19.75,BY,1613190938
Luoyang,34.6836,112.4536,59.0,99,100,2.04,CN,1613190938
Sistranda,63.7256,8.834,32.0,74,40,29.93,NO,1613190348
Carnarvon,-24.8667,113.6333,84.2,89,90,12.66,AU,1613190447
Vila Velha,-20.3297,-40.2925,75.2,88,0,3.44,BR,1613190939
Qasigiannguit,68.8193,-51.1922,10.4,85,75,3.44,GL,1613190374
Vadsø,70.0744,29.7487,-0.4,85,90,4.61,NO,1613190939
Diu,20.7141,70.9822,80.87,26,8,3.29,IN,1613190939
Honiara,-9.4333,159.95,84.56,73,85,9.42,SB,1613190939
Ust-Maya,60.4167,134.5333,11.79,93,29,3.06,RU,1613190791
Gao,16.6362,1.637,70.14,19,18,11.92,ML,1613190940
Cherskiy,68.75,161.3,-21.68,81,0,0.43,RU,1613190385
Upata,8.0086,-62.3989,73.99,89,56,4.0,VE,1613190940
Puerto Madryn,-42.7692,-65.0385,70.86,70,93,21.72,AR,1613190940
Qaqortoq,60.7167,-46.0333,42.8,31,75,34.52,GL,1613190483
Mayo,38.8876,-76.5119,30.99,64,90,7.4,US,1613190383
Lufilufi,-13.8745,-171.5986,87.8,79,40,9.22,WS,1613190940
Manadhoo,5.7667,73.3833,80.76,69,100,13.09,MV,1613190475
Maniitsoq,65.4167,-52.9,14.31,88,17,10.36,GL,1613190397
Arrondissement de Perpignan,42.75,2.75,53.01,66,75,9.22,FR,1613190941
Cap Malheureux,-19.9842,57.6142,81.0,72,6,10.0,MU,1613190344
Cap-aux-Meules,47.3821,-61.8597,26.6,74,82,8.05,CA,1613190941
Sogod,10.3847,124.9814,84.16,74,84,1.19,PH,1613190941
Salym,60.0625,71.4789,-5.24,92,100,6.53,RU,1613190942
Jaguariaíva,-24.2511,-49.7058,61.83,95,23,1.23,BR,1613190942
Karratha,-20.7377,116.8463,85.51,54,30,12.37,AU,1613190418
Santa Cruz Cabrália,-16.2781,-39.0247,77.0,78,20,6.91,BR,1613190943
Aswān,24.0934,32.907,56.3,39,0,10.02,EG,1613190420
Ballina,-28.8667,153.5667,86.0,65,75,13.8,AU,1613190943
Ostrovnoy,68.0531,39.5131,-1.77,91,99,5.61,RU,1613190454
Uyemskiy,64.4743,40.8524,-14.8,76,40,6.71,RU,1613190944
Kabwe,-14.4469,28.4464,63.41,97,100,5.41,ZM,1613190944
Krasnoarmeysk,51.0239,45.6969,34.0,89,100,3.0,RU,1613190944
Ucluelet,48.9329,-125.5528,32.0,81,100,1.01,CA,1613190357
Margate,51.3813,1.3862,28.99,51,2,10.0,GB,1613190356
Oga,46.4631,10.347,12.2,92,90,11.5,IT,1613190945
Sitka,57.0531,-135.33,37.4,30,20,6.91,US,1613190389
Doha,25.2867,51.5333,68.0,68,0,5.75,QA,1613190946
Okhotsk,59.3833,143.3,16.75,93,100,3.89,RU,1613190701
Nuuk,64.1835,-51.7216,19.4,86,90,13.8,GL,1613190355
Tabas,33.5959,56.9244,46.4,23,0,4.61,IR,1613190946
Panama City,8.9936,-79.5197,78.8,78,75,8.05,PA,1613190868
Cam Ranh,11.9214,109.1591,78.8,50,20,12.66,VN,1613190946
Upernavik,72.7868,-56.1549,-3.14,82,0,7.96,GL,1613190369
Shenzhen,22.5455,114.0683,73.99,63,70,3.0,CN,1613190947
Caçapava do Sul,-30.5122,-53.4914,61.79,100,62,1.92,BR,1613190947
Cayenne,4.9333,-52.3333,77.0,100,75,5.75,GF,1613190947
Ribeira Brava,32.65,-17.0667,55.0,74,22,5.99,PT,1613190947
Robertson,36.5167,-86.8667,26.6,93,90,8.05,US,1613190947
Pārvatipuram,18.7833,83.4333,84.31,38,0,2.86,IN,1613190947
São João da Barra,-21.6403,-41.0511,76.44,86,100,14.65,BR,1613190948
Paracelis,17.2667,121.4667,77.68,71,53,5.01,PH,1613190948
Tuatapere,-46.1333,167.6833,66.99,67,73,4.0,NZ,1613190997
Half Moon Bay,37.4636,-122.4286,53.6,87,90,13.8,US,1613190998
Buin,-33.7333,-70.75,68.0,82,20,6.91,CL,1613190998
Tuy Hoa,13.0833,109.3,72.32,70,70,9.98,VN,1613190232
Atar,20.5169,-13.0499,61.65,25,0,10.04,MR,1613190998
Ancud,-41.8697,-73.8203,54.0,81,0,9.22,CL,1613190998
Paamiut,61.994,-49.6678,24.55,92,95,21.5,GL,1613190405
Zhigansk,66.7697,123.3711,-7.38,90,100,12.39,RU,1613190999
Andros Town,24.7,-77.7667,73.4,94,0,9.22,BS,1613190999
Usinsk,65.9939,57.5281,-21.77,88,95,2.86,RU,1613190999
Sidi Ali,36.0998,0.4206,50.88,97,2,6.6,DZ,1613190999
Pinawa,50.1489,-95.8811,-21.41,87,100,3.44,CA,1613190999
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,73.99,70,34,2.28,AR,1613191000
Kolodeznyy,51.3333,39.1833,12.2,79,90,8.95,RU,1613191000
Sierre,46.2919,7.5356,26.6,80,95,8.05,CH,1613191000
Paratinga,-12.6906,-43.1842,73.06,68,96,4.54,BR,1613191000
Gazli,40.1333,63.45,50.83,64,0,11.18,UZ,1613191000
Baykit,61.67,96.37,-14.13,82,99,2.08,RU,1613190729
Oktyabr'skiy,54.4815,53.471,30.88,97,100,10.74,RU,1613191000
Krasne,49.9145,24.6134,5.0,92,90,11.18,UA,1613191001
Araouane,18.9048,-3.5265,69.6,18,0,9.44,ML,1613191001
Tacuarembó,-31.7333,-55.9833,64.11,93,15,2.15,UY,1613190866
Uryupinsk,50.8047,42.0138,19.99,85,100,11.99,RU,1613191001
Barabash,43.2,131.4833,37.4,93,20,4.47,RU,1613190791
Kangaatsiaq,68.3065,-53.4641,6.26,89,0,5.86,GL,1613191002
Bichura,50.5881,107.6022,3.69,84,6,3.24,RU,1613191002
Srīnivāspur,13.3333,78.2167,72.0,68,40,2.3,IN,1613191002
Puerto Baquerizo Moreno,-0.9,-89.6,76.84,87,90,10.67,EC,1613190747
Kattivākkam,13.2167,80.3167,78.8,65,20,4.61,IN,1613191003
Sibolga,1.7427,98.7792,87.31,56,21,4.25,ID,1613190453
Verkhoyansk,67.5447,133.385,-10.5,86,6,1.14,RU,1613191003
Buala,-8.145,159.5921,82.54,81,94,12.03,SB,1613191003
Lanigan,51.8501,-105.0344,-31.0,75,2,3.44,CA,1613191003
Uglovskoye,51.3557,80.1942,-0.29,89,37,5.55,RU,1613191004
Komagane,35.7296,137.9396,55.0,46,71,5.99,JP,1613191004
Kavos,38.8268,22.8322,46.99,78,98,5.23,GR,1613191004
Nyaunglebin,17.95,96.7333,88.47,30,10,7.34,MM,1613191004
Evensk,61.95,159.2333,-1.43,79,0,5.23,RU,1613191005
Buraidah,26.326,43.975,51.8,87,0,7.78,SA,1613190465
Turukhansk,65.8167,87.9833,-23.94,81,0,5.41,RU,1613191006
Plainview,40.7765,-73.4673,28.99,40,90,5.75,US,1613190989
Beringovskiy,63.05,179.3167,-8.93,90,100,29.08,RU,1613191006
Moerai,-22.4333,-151.3333,80.08,72,100,12.95,PF,1613191006
Jieshi,22.8134,115.8257,70.0,64,31,12.01,CN,1613191006
